"code_insee_com","nom_com","RR_med","NBJRR5_med","NBJRR1_med","NBJRR10_med","Tmin_med","Tmax_med","Tens_vap_med","Force_vent_med","Insolation_med","Rayonnement_med","niveau_vie_median_2021"
34329,"Vendres",32,2,3,1,9.5,19.5,11.8,4,4120,14757,22350
34332,"Vias",27.95,2,4,1,10.3,19.9,11.8,4,4120,14757,19780
34333,"Vic-la-Gardiole",42.7,2,4,1,10.95,19.9,12,2.6,4690,15794,22730
34334,"Vieussan",52.5,3,3,2,10.4,18.9,11.1,3.1,3138,12100,16530
34336,"Villeneuve-lès-Béziers",32,2,3,1,10.3,19.9,11.8,4,4120,14757,20500
34337,"Villeneuve-lès-Maguelone",44,2,5,1,10.95,19.9,12,2.6,4690,15794,24010
34340,"Villetelle",51.85,2,4,2,9.7,20.4,12.3,2.5,4205,15149,26660
34341,"Villeveyrac",42.7,2,4,1,11.6,17.9,11.9,4.8,4104,14498,22720
34342,"Viols-en-Laval",66.6,3,5,2,7.4,18.5,10.8,2.4,4690,15794,26290
34344,"Grande-Motte",36.1,2,4,1,11,18.3,11.5,3.9,4380,14835.5,23390
46001,"Albas",55.3,4,8,2,7.9,19.35,11.6,2.2,3709,14404,22310
46003,"Alvignac",64.2,4,9,2,11.85,24.45,10.4,3.1,3493,13687,22270
46004,"Anglars",81.9,5,10,3,13.25,23.6,10.6,2.3,3383.5,12351.5,23550
46005,"Anglars-Juillac",61.5,4,7,2,7.9,19.35,11.6,3,3709,14404,21330
46006,"Anglars-Nozac",65,4,10,2,7.6,17.6,10.6,2.3,3360,12556,19910
46007,"Arcambal",96,6,7,3,6.1,17.3,10.7,2.2,3709,14404,22880
46008,"Arques",61.5,4,7,2,7.9,19.35,11.6,1.6,3102,12018,18780
46009,"Assier",81.9,5,10,3,6.6,20.3,10.6,2.3,3383.5,12351.5,21980
46010,"Aujols",62.8,4,9,2,6.1,17.3,10.7,2.2,3709,14404,24120
46011,"Autoire",90.4,5,12,3,7,19.95,11.2,2.6,3493,13687,24230
46012,"Aynac",90.4,5,12,3,13.25,23.6,10.4,3.1,3493,13687,20710
46013,"Bach",70.4,4.5,9,2,12.15,25.25,11.1,2.3,3709,14404,20290
46015,"Bagnac-sur-Célé",85.6,5,10,3,7.6,16.7,10.1,2.2,3349,12638,20510
46016,"Baladou",72.8,4.5,9,2,7.4,18.4,10.6,2.3,3268.5,12172,23450
46017,"Bannes",90.4,5,12,3,13.25,23.6,10.1,2.6,3383.5,12351.5,23600
46018,"Bastit",64.2,4,9,2,8.1,17.7,10.4,3.1,3493,13687,25060
46020,"Beauregard",71,5,9,2,12.15,25.25,11.1,2.3,3310,12085,20700
46021,"Béduer",61.45,4,8,2,8.3,18.3,10.6,2.3,3383.5,12351.5,24050
46022,"Bélaye",55.3,4,8,2,7.9,19.35,11.6,3,3709,14404,20640
46023,"Belfort-du-Quercy",58.45,4,9,2,14.1,25.4,10.7,2.2,3709,14404,20940
46026,"Belmont-Sainte-Foi",63.3,4,9,2,7.8,18.9,11.1,2.3,3709,14404,20930
46027,"Berganty",96,6,7,3,12.15,25.25,10.7,2.2,3709,14404,21740
46028,"Bétaille",87.2,5,11,3,11.45,25.4,11.2,1,3493,13687,21390
46030,"Bio",90.4,5,12,3,11.85,24.45,10.4,3.1,3493,13687,23200
46031,"Blars",68.2,4,9,2,5.8,18.8,10.4,3.1,3493,13687,21580
46032,"Boissières",77.85,5,10,2,6.1,17.3,10.7,2.2,3709,14404,23030
46033,"Porte-du-Quercy",59.7,4,7,2,7.9,19.35,11.6,3,3709,14404,21440
46034,"Bourg",81.9,5,10,3,13.25,23.6,10.6,2.3,3383.5,12351.5,22010
46035,"Boussac",61.45,4,8,2,8.3,18.3,10.6,2.3,3383.5,12351.5,21920
46036,"Bouyssou",81.9,5,10,3,13.25,23.6,10.6,2.3,3383.5,12351.5,23640
46039,"Brengues",66.25,5,9.5,2,6.6,20.3,10.6,2.3,3493,13687,21280
46040,"Cabrerets",96,6,7,3,5.8,18.8,10.7,2.8,3489,12601.5,19260
46041,"Cadrieu",66.25,5,9.5,2,12.15,25.25,10.6,2.3,3383.5,12351.5,23060
46042,"Cahors",59.55,4,8,2,6.1,17.3,10.7,2.2,3709,14404,21750
46044,"Caillac",59.55,4,8,2,7.9,19.35,11.6,1.9,3709,14404,23710
46045,"Cajarc",66.25,5,9.5,2,12.15,25.25,10.6,2.3,3383.5,12351.5,21760
46046,"Calamane",77.85,5,10,2,6.1,17.3,10.7,2.2,3709,14404,23750
46047,"Calès",72.8,4.5,9,2,7.6,17.6,10.6,2.3,3360,12556,20700
