code_insee_com,nom_com,RR_med,NBJRR5_med,NBJRR1_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med,niveau_vie_median_2021
31102,Cambiac,48.5,3.0,7.0,1.0,8.6,18.45,11.4,4.6,3605.0,15422.0,26510
31103,Canens,60.85,4.0,7.0,2.0,8.0,17.2,11.55,2.8,3522.5,13496.0,N/A - secret statistique
31104,Capens,51.7,4.0,8.0,2.0,7.6,18.0,11.9,2.5,3664.0,13465.0,23990
31105,Caragoudes,54.65,4.0,8.0,1.0,8.6,18.45,11.7,3.0,3556.0,13450.0,27750
31106,Caraman,63.1,4.0,8.0,2.0,8.6,18.45,11.7,3.0,3556.0,13450.0,24710
31107,Carbonne,47.0,3.0,7.0,2.0,7.6,18.0,11.9,2.5,3664.0,13465.0,22590
31108,Cardeilhac,68.35,4.0,9.0,2.0,7.4,18.6,11.1,2.2,3373.0,13106.5,18540
31109,Cassagnabère-Tournas,55.3,4.0,8.0,2.0,6.1,18.3,11.3,1.8,3884.0,14003.0,19470
31110,Cassagne,79.8,5.0,10.0,3.0,8.7,20.45,11.3,1.9,3884.0,14003.0,24240
31111,Castagnac,57.25,4.0,8.0,2.0,8.0,17.2,11.55,2.8,3522.5,13496.0,21720
31112,Castagnède,64.85,4.0,9.0,2.0,7.8,18.8,11.3,1.8,3884.0,14003.0,23040
31113,Castanet-Tolosan,52.5,4.0,7.0,1.0,9.5,19.4,12.1,2.9,3982.0,14329.5,25080
31114,Castelbiague,64.85,4.0,9.0,2.0,7.8,18.8,11.3,1.8,3884.0,14003.0,21970
31115,Castelgaillard,59.5,4.0,6.0,2.0,9.4,18.1,11.7,3.6,3884.0,14003.0,N/A - secret statistique
31116,Castelginest,51.2,3.0,8.0,1.0,4.6,12.4,11.3,3.6,3378.0,12998.5,23790
31117,Castelmaurou,51.6,3.0,9.0,1.0,4.6,12.4,12.1,2.9,3982.0,14329.5,28780
31118,Castelnau-d'Estrétefonds,53.0,4.0,8.0,2.0,8.6,19.4,12.5,2.3,3593.0,13187.0,24980
31119,Castelnau-Picampeau,53.5,3.0,8.0,1.5,7.35,19.4,11.3,1.9,3664.0,13465.0,22170
31120,Castéra,51.7,3.0,8.0,1.0,8.4,18.9,11.6,3.0,3834.0,14927.0,27420
31121,Castéra-Vignoles,55.3,4.0,8.0,2.0,7.4,18.6,11.3,1.8,3884.0,14003.0,N/A - secret statistique
31122,Casties-Labrande,53.5,3.0,8.0,1.5,7.35,19.4,11.3,1.9,3664.0,13465.0,N/A - secret statistique
31123,Castillon-de-Larboust,54.5,3.0,6.0,1.0,-0.2,5.2,4.5,2.3,3285.0,12622.0,N/A - secret statistique
31124,Castillon-de-Saint-Martory,79.8,5.0,10.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,21880
31125,Cathervielle,103.8,7.0,13.0,4.0,4.4,12.2,6.8,1.8,3285.0,12622.0,N/A - secret statistique
31126,Caubiac,53.2,4.0,8.0,1.0,9.9,17.7,12.2,3.2,3536.5,12600.5,26630
31127,Caubous,77.9,5.0,9.0,2.0,5.45,17.9,9.9,1.6,3285.0,12622.0,N/A - secret statistique
31128,Caujac,57.25,4.0,8.0,2.0,8.0,17.2,11.55,2.8,3550.0,14132.5,23300
31129,Cazarilh-Laspènes,73.2,4.0,9.0,2.0,5.45,17.9,9.9,1.6,3285.0,12622.0,N/A - secret statistique
